ano,dia,data-hora,minuto,velocidde-vento-25m,direcao-vento-25m,temperatura-25m,velocidade-vento-50m,direcao-vento-50m,temratura-50m
2010,278,2010-10-5 08:00:00,480,3.2573333333333334,139.11666666666667,21.621666666666666,4.9608333333333325,133.55,21.28333333333333
2010,278,2010-10-5 09:00:00,540,2.7861666666666665,143.88333333333338,22.186666666666664,3.783,138.79999999999998,21.55
2010,278,2010-10-5 10:00:00,600,5.204166666666667,144.98333333333338,23.35833333333333,6.4896666666666665,140.06666666666663,22.695
2010,278,2010-10-5 11:00:00,660,5.404333333333334,133.11666666666667,25.06833333333333,6.3900000000000015,128.2,24.31333333333333
2010,278,2010-10-5 12:00:00,720,5.333166666666667,139.26666666666668,26.551666666666673,6.098166666666668,134.28333333333333,25.74833333333333
2010,278,2010-10-5 13:00:00,780,5.4608333333333325,130.58333333333334,28.204999999999995,6.2589999999999995,125.61666666666666,27.33833333333333
2010,278,2010-10-5 14:00:00,840,5.025833333333334,132.63333333333335,29.64166666666667,5.660666666666668,128.86666666666667,28.81833333333333
2010,278,2010-10-5 15:00:00,900,4.61,128.3,31.090000000000003,5.1525,124.95,30.29166666666666
2010,278,2010-10-5 16:00:00,960,4.6065,135.01666666666668,32.45333333333334,5.187833333333334,130.48333333333332,31.59333333333333
2010,278,2010-10-5 17:00:00,1020,3.6645,154.28333333333333,33.335,4.2965,149.01666666666668,32.53833333333333
2010,278,2010-10-5 18:00:00,1080,4.551166666666667,119.58333333333331,33.70666666666667,5.297666666666666,114.55,32.96833333333333
2010,278,2010-10-5 19:00:00,1140,4.260166666666667,103.38333333333334,33.71,5.0065,99.25,33.035000000000004
2010,278,2010-10-5 20:00:00,1200,3.1781666666666677,112.84999999999998,32.73333333333333,4.3735,108.33333333333331,32.56166666666666
2010,278,2010-10-5 21:00:00,1260,3.4254999999999995,139.01666666666668,31.985,5.362333333333333,131.86666666666667,32.306666666666665
2010,278,2010-10-5 22:00:00,1320,3.1251666666666664,126.91666666666669,30.51833333333333,5.0935,129.51666666666668,30.974999999999994
2010,278,2010-10-5 23:00:00,1380,3.768666666666667,99.35,28.92333333333333,5.600666666666666,104.46666666666668,29.38666666666667
2010,279,2010-10-6 00:00:00,0,3.604,95.51666666666668,27.84,5.8838333333333335,93.53333333333332,28.28333333333333
2010,279,2010-10-6 01:00:00,60,3.9915,103.83333333333331,26.985,6.075333333333332,98.83333333333331,27.278333333333336
2010,279,2010-10-6 02:00:00,120,4.441,104.2,26.44,6.5523333333333325,98.28333333333332,26.47333333333333
2010,279,2010-10-6 03:00:00,180,5.6111666666666675,99.21666666666664,26.34,7.6483333333333325,95.36666666666667,26.045
2010,279,2010-10-6 04:00:00,240,4.927666666666667,96.63333333333333,25.37166666666667,6.622999999999999,92.7,24.995
2010,279,2010-10-6 05:00:00,300,3.3165,128.53333333333333,24.36,4.672166666666667,119.35,24.08833333333333
2010,279,2010-10-6 06:00:00,360,2.9168333333333334,131.88333333333335,23.56833333333333,4.263166666666667,125.78333333333336,23.47666666666667
2010,279,2010-10-6 07:00:00,420,2.987833333333333,112.71666666666664,22.615,4.616333333333333,106.33333333333331,22.65
2010,279,2010-10-6 08:00:00,480,3.1955000000000005,121.18333333333334,21.986666666666668,4.4415,113.43333333333332,21.90166666666667
2010,279,2010-10-6 09:00:00,540,2.8355,140.28333333333333,22.13666666666667,3.763500000000001,134.63333333333335,21.53333333333333
2010,279,2010-10-6 10:00:00,600,4.646333333333333,122.8,23.93,5.517499999999999,118.08333333333331,23.176666666666666
2010,279,2010-10-6 11:00:00,660,4.566666666666666,114.66666666666664,25.355,5.132999999999999,111.13333333333333,24.61833333333333
2010,279,2010-10-6 12:00:00,720,4.513,103.08333333333331,26.9,5.076999999999999,98.15,26.133333333333336
2010,279,2010-10-6 13:00:00,780,4.2218333333333335,110.03333333333336,28.48833333333333,4.876166666666667,104.26666666666664,27.69
2010,279,2010-10-6 14:00:00,840,4.4035,101.05,30.040000000000006,4.829833333333333,94.71666666666664,29.320000000000004
2010,279,2010-10-6 15:00:00,900,3.4978333333333333,101.05,31.57833333333333,3.874333333333334,97.35,30.82333333333333
2010,279,2010-10-6 16:00:00,960,3.7551666666666654,90.86666666666667,33.03166666666666,4.146833333333333,85.605,32.17
2010,279,2010-10-6 17:00:00,1020,3.9389999999999996,97.21666666666664,33.821666666666665,4.456499999999999,94.53333333333332,33.02833333333333
2010,279,2010-10-6 18:00:00,1080,3.982166666666666,100.13333333333334,34.26,4.4594999999999985,96.56666666666668,33.52166666666667
2010,279,2010-10-6 19:00:00,1140,3.7351666666666654,105.66666666666669,34.57,4.3705,101.28333333333336,33.90166666666667
2010,279,2010-10-6 20:00:00,1200,3.0058333333333334,97.76666666666668,34.06166666666667,4.088,95.71666666666664,33.785
2010,279,2010-10-6 21:00:00,1260,2.860333333333333,93.5,33.361666666666665,4.0385,91.36666666666667,33.42666666666667
2010,279,2010-10-6 22:00:00,1320,3.113,81.44999999999997,31.94333333333333,4.983666666666667,72.22000000000001,32.47166666666667
2010,279,2010-10-6 23:00:00,1380,2.9385,124.03333333333332,30.09833333333333,4.0553333333333335,101.25,30.37333333333333
2010,280,2010-10-7 00:00:00,0,3.3768333333333334,118.75,29.13000000000001,5.6205,112.93333333333334,29.67333333333333
2010,280,2010-10-7 01:00:00,60,2.5865,139.93333333333337,28.05833333333333,4.295833333333333,131.11666666666665,28.11333333333333
2010,280,2010-10-7 02:00:00,120,4.144333333333333,149.93333333333337,27.81166666666667,5.602666666666668,140.51666666666665,27.633333333333336
